id,filename,cast,a_uiqm,a_uciqe,b_uiqm,b_uciqe,c_uiqm,c_uciqe
0,100_img_.png,bluish
1,10139.png,greenish
2,10151.png,greenish
3,101_img_.png,greenish
4,102_img_.png,greenish
5,104_img_.png,bluish
6,105_img_.png,greenish
7,106_img_.png,no-color-cast
8,107_img_.png,bluish
9,108_img_.png,greenish
10,10909.png,no-color-cast
11,10945.png,bluish
12,109_img_.png,greenish
13,10_img_.png,bluish
14,11052.png,no-color-cast
15,11064.png,no-color-cast
16,111_img_.png,bluish
17,112_img_.png,greenish
18,11374.png,greenish
19,11398.png,no-color-cast
20,113_img_.png,greenish
21,114_img_.png,bluish
22,115_img_.png,bluish
23,116_img_.png,greenish
24,117_img_.png,no-color-cast
25,118_img_.png,no-color-cast
26,11_img_.png,greenish
27,120_img_.png,bluish
28,121_img_.png,no-color-cast
29,1225.png,no-color-cast
30,12290.png,no-color-cast
31,12299.png,no-color-cast
32,122_img_.png,bluish
33,12324.png,no-color-cast
34,12336.png,no-color-cast
35,12348.png,no-color-cast
36,123_img_.png,no-color-cast
37,12422.png,bluish
38,12433.png,greenish
39,12445.png,bluish
40,124_img_.png,bluish
41,125_img_.png,no-color-cast
42,12900.png,greenish
43,129_img_.png,greenish
44,130_img_.png,bluish
45,131_img_.png,bluish
46,133_img_.png,bluish
47,135_img_.png,bluish
48,136_img_.png,bluish
49,137_img_.png,bluish
50,138_img_.png,bluish
51,139_img_.png,bluish
52,13_img_.png,greenish
53,1407.png,no-color-cast
54,140_img_.png,greenish
55,141_img_.png,bluish
56,142_img_.png,greenish
57,143_img_.png,greenish
58,144_img_.png,bluish
59,145_img_.png,bluish
60,146_img_.png,greenish
61,148_img_.png,bluish
62,1491.png,greenish
63,149_img_.png,bluish
64,14_img_.png,greenish
65,15001.png,yellowish
66,15003.png,yellowish
67,15045.png,greenish
68,15094.png,greenish
69,150_img_.png,bluish
70,15113.png,greenish
71,15136.png,greenish
72,151_img_.png,bluish
73,152_img_.png,bluish
74,1539.png,no-color-cast
75,153_img_.png,bluish
76,15418.png,yellowish
77,15426.png,yellowish
78,154_img_.png,bluish
79,15544.png,yellowish
80,155_img_.png,greenish
81,156_img_.png,no-color-cast
82,15704.png,greenish
